rent_sno,date,0
16,2021-11-28,62
16,2021-11-29,93
16,2021-11-30,93
18,2021-11-01,196
18,2021-11-02,177
18,2021-11-03,160
18,2021-11-04,171
18,2021-11-05,216
18,2021-11-06,141
18,2021-11-07,155
18,2021-11-08,116
18,2021-11-09,184
18,2021-11-10,156
18,2021-11-11,195
18,2021-11-12,116
18,2021-11-13,95
18,2021-11-14,136
18,2021-11-15,174
18,2021-11-16,205
18,2021-11-17,169
18,2021-11-18,128
18,2021-11-19,204
18,2021-11-20,98
18,2021-11-21,143
18,2021-11-22,113
18,2021-11-23,95
18,2021-11-24,151
18,2021-11-25,147
18,2021-11-26,94
18,2021-11-27,24
18,2021-11-28,118
18,2021-11-29,155
18,2021-11-30,123
19,2021-11-01,146
19,2021-11-02,173
19,2021-11-03,137
19,2021-11-04,162
19,2021-11-05,156
19,2021-11-06,159
19,2021-11-07,164
19,2021-11-08,60
19,2021-11-09,148
19,2021-11-10,170
19,2021-11-11,146
19,2021-11-12,103
19,2021-11-13,65
19,2021-11-14,139
19,2021-11-15,157
19,2021-11-16,143
19,2021-11-17,146
19,2021-11-18,100
19,2021-11-19,132
19,2021-11-20,90
19,2021-11-21,157
19,2021-11-22,86
19,2021-11-23,52
19,2021-11-24,154
19,2021-11-25,122
19,2021-11-26,48
19,2021-11-27,21
19,2021-11-28,102
19,2021-11-29,148
19,2021-11-30,95
21,2021-11-01,188
21,2021-11-02,171
21,2021-11-03,189
21,2021-11-04,186
21,2021-11-05,220
21,2021-11-06,122
21,2021-11-07,98
21,2021-11-08,105
21,2021-11-09,189
21,2021-11-10,161
21,2021-11-11,197
21,2021-11-12,117
21,2021-11-13,71
21,2021-11-14,94
21,2021-11-15,176
21,2021-11-16,181
21,2021-11-17,172
21,2021-11-18,129
21,2021-11-19,168
21,2021-11-20,73
21,2021-11-21,94
21,2021-11-22,128
21,2021-11-23,115
21,2021-11-24,179
21,2021-11-25,175
21,2021-11-26,98
21,2021-11-27,28
21,2021-11-28,85
21,2021-11-29,182
21,2021-11-30,151
22,2021-11-01,302
22,2021-11-02,261
22,2021-11-03,256
22,2021-11-04,282
22,2021-11-05,316
22,2021-11-06,230
22,2021-11-07,234
22,2021-11-08,187
22,2021-11-09,259
22,2021-11-10,254
22,2021-11-11,264
22,2021-11-12,215
22,2021-11-13,146
22,2021-11-14,203
22,2021-11-15,290
22,2021-11-16,279
22,2021-11-17,263
22,2021-11-18,210
22,2021-11-19,237
22,2021-11-20,131
22,2021-11-21,235
22,2021-11-22,200
22,2021-11-23,130
22,2021-11-24,230
22,2021-11-25,183
22,2021-11-26,158
22,2021-11-27,54
22,2021-11-28,172
22,2021-11-29,274
22,2021-11-30,198
23,2021-11-01,68
23,2021-11-02,56
23,2021-11-03,69
23,2021-11-04,61
23,2021-11-05,60
23,2021-11-06,51
23,2021-11-07,60
23,2021-11-08,26
23,2021-11-09,64
23,2021-11-10,55
23,2021-11-11,56
23,2021-11-12,35
23,2021-11-13,37
23,2021-11-14,37
23,2021-11-15,64
23,2021-11-16,71
23,2021-11-17,63
23,2021-11-18,36
23,2021-11-19,58
23,2021-11-20,29
23,2021-11-21,43
23,2021-11-22,37
23,2021-11-23,17
23,2021-11-24,53
23,2021-11-25,52
23,2021-11-26,12
23,2021-11-27,8
23,2021-11-28,36
23,2021-11-29,47
23,2021-11-30,48
24,2021-11-01,270
24,2021-11-02,257
24,2021-11-03,226
24,2021-11-04,274
24,2021-11-05,283
24,2021-11-06,340
24,2021-11-07,319
24,2021-11-08,187
24,2021-11-09,240
24,2021-11-10,268
24,2021-11-11,270
24,2021-11-12,199
24,2021-11-13,208
24,2021-11-14,291
24,2021-11-15,274
