return_sno,date,0
14,2021-11-15,197
14,2021-11-16,213
14,2021-11-17,212
14,2021-11-18,154
14,2021-11-19,175
14,2021-11-20,165
14,2021-11-21,221
14,2021-11-22,157
14,2021-11-23,127
14,2021-11-24,210
14,2021-11-25,182
14,2021-11-26,115
14,2021-11-27,52
14,2021-11-28,173
14,2021-11-29,169
14,2021-11-30,152
16,2021-11-01,132
16,2021-11-02,122
16,2021-11-03,92
16,2021-11-04,110
16,2021-11-05,135
16,2021-11-06,114
16,2021-11-07,107
16,2021-11-08,67
16,2021-11-09,125
16,2021-11-10,119
16,2021-11-11,98
16,2021-11-12,112
16,2021-11-13,72
16,2021-11-14,98
16,2021-11-15,130
16,2021-11-16,104
16,2021-11-17,121
16,2021-11-18,78
16,2021-11-19,91
16,2021-11-20,56
16,2021-11-21,99
16,2021-11-22,73
16,2021-11-23,44
16,2021-11-24,86
16,2021-11-25,78
16,2021-11-26,40
16,2021-11-27,32
16,2021-11-28,75
16,2021-11-29,96
16,2021-11-30,87
18,2021-11-01,193
18,2021-11-02,175
18,2021-11-03,161
18,2021-11-04,180
18,2021-11-05,218
18,2021-11-06,171
18,2021-11-07,163
18,2021-11-08,103
18,2021-11-09,185
18,2021-11-10,177
18,2021-11-11,200
18,2021-11-12,119
18,2021-11-13,112
18,2021-11-14,150
18,2021-11-15,184
18,2021-11-16,198
18,2021-11-17,193
18,2021-11-18,129
18,2021-11-19,182
18,2021-11-20,96
18,2021-11-21,153
18,2021-11-22,120
18,2021-11-23,95
18,2021-11-24,158
18,2021-11-25,158
18,2021-11-26,77
18,2021-11-27,32
18,2021-11-28,112
18,2021-11-29,161
18,2021-11-30,144
19,2021-11-01,160
19,2021-11-02,155
19,2021-11-03,138
19,2021-11-04,155
19,2021-11-05,163
19,2021-11-06,147
19,2021-11-07,166
19,2021-11-08,58
19,2021-11-09,155
19,2021-11-10,165
19,2021-11-11,142
19,2021-11-12,105
19,2021-11-13,63
19,2021-11-14,142
19,2021-11-15,153
19,2021-11-16,146
19,2021-11-17,149
19,2021-11-18,106
19,2021-11-19,131
19,2021-11-20,81
19,2021-11-21,145
19,2021-11-22,82
19,2021-11-23,50
19,2021-11-24,145
19,2021-11-25,123
19,2021-11-26,51
19,2021-11-27,25
19,2021-11-28,89
19,2021-11-29,150
19,2021-11-30,98
21,2021-11-01,193
21,2021-11-02,172
21,2021-11-03,184
21,2021-11-04,181
21,2021-11-05,226
21,2021-11-06,117
21,2021-11-07,107
21,2021-11-08,93
21,2021-11-09,185
21,2021-11-10,160
21,2021-11-11,214
21,2021-11-12,108
21,2021-11-13,69
21,2021-11-14,77
21,2021-11-15,169
21,2021-11-16,185
21,2021-11-17,180
21,2021-11-18,132
21,2021-11-19,160
21,2021-11-20,91
21,2021-11-21,107
21,2021-11-22,117
21,2021-11-23,91
21,2021-11-24,176
21,2021-11-25,174
21,2021-11-26,103
21,2021-11-27,20
21,2021-11-28,89
21,2021-11-29,180
21,2021-11-30,145
22,2021-11-01,277
22,2021-11-02,256
22,2021-11-03,244
22,2021-11-04,282
22,2021-11-05,296
22,2021-11-06,265
22,2021-11-07,217
22,2021-11-08,161
22,2021-11-09,267
22,2021-11-10,244
22,2021-11-11,260
22,2021-11-12,178
22,2021-11-13,139
22,2021-11-14,214
22,2021-11-15,282
22,2021-11-16,258
22,2021-11-17,248
22,2021-11-18,181
22,2021-11-19,233
22,2021-11-20,144
22,2021-11-21,228
22,2021-11-22,172
22,2021-11-23,114
22,2021-11-24,237
22,2021-11-25,206
22,2021-11-26,104
22,2021-11-27,44
22,2021-11-28,166
22,2021-11-29,275
22,2021-11-30,187
23,2021-11-01,76
23,2021-11-02,72
23,2021-11-03,69
23,2021-11-04,70
23,2021-11-05,61
23,2021-11-06,50
23,2021-11-07,51
23,2021-11-08,51
23,2021-11-09,74
23,2021-11-10,65
23,2021-11-11,62
23,2021-11-12,45
23,2021-11-13,42
23,2021-11-14,46
23,2021-11-15,71
23,2021-11-16,69
23,2021-11-17,60
23,2021-11-18,39
23,2021-11-19,62
23,2021-11-20,32
23,2021-11-21,45
23,2021-11-22,41
23,2021-11-23,32
23,2021-11-24,72
23,2021-11-25,37
23,2021-11-26,22
23,2021-11-27,6
23,2021-11-28,33
23,2021-11-29,59
23,2021-11-30,52
24,2021-11-01,250
24,2021-11-02,257
24,2021-11-03,234
24,2021-11-04,270
24,2021-11-05,286
24,2021-11-06,313
24,2021-11-07,315
24,2021-11-08,190
24,2021-11-09,243
24,2021-11-10,277
24,2021-11-11,261
24,2021-11-12,200
24,2021-11-13,218
24,2021-11-14,273
24,2021-11-15,279
24,2021-11-16,267
24,2021-11-17,255
24,2021-11-18,213
24,2021-11-19,257
24,2021-11-20,203
24,2021-11-21,329
24,2021-11-22,188
24,2021-11-23,128
24,2021-11-24,232
24,2021-11-25,243
24,2021-11-26,121
24,2021-11-27,74
24,2021-11-28,273
24,2021-11-29,246
24,2021-11-30,193
25,2021-11-01,231
25,2021-11-02,247
25,2021-11-03,219
25,2021-11-04,240
25,2021-11-05,266
25,2021-11-06,201
25,2021-11-07,192
25,2021-11-08,165
25,2021-11-09,220
25,2021-11-10,240
25,2021-11-11,222
25,2021-11-12,205
25,2021-11-13,123
25,2021-11-14,162
25,2021-11-15,207
25,2021-11-16,213
25,2021-11-17,211
25,2021-11-18,182
25,2021-11-19,218
25,2021-11-20,130
25,2021-11-21,183
25,2021-11-22,171
25,2021-11-23,110
25,2021-11-24,202
25,2021-11-25,159
25,2021-11-26,109
25,2021-11-27,71
25,2021-11-28,161
25,2021-11-29,203
25,2021-11-30,173
26,2021-11-01,123
26,2021-11-02,145
26,2021-11-03,103
26,2021-11-04,142
26,2021-11-05,159
26,2021-11-06,125
26,2021-11-07,107
26,2021-11-08,80
26,2021-11-09,122
26,2021-11-10,139
26,2021-11-11,135
26,2021-11-12,84
26,2021-11-13,65
26,2021-11-14,99
26,2021-11-15,150
26,2021-11-16,147
26,2021-11-17,145
26,2021-11-18,99
26,2021-11-19,124
26,2021-11-20,72
26,2021-11-21,109
26,2021-11-22,107
26,2021-11-23,62
26,2021-11-24,148
26,2021-11-25,126
26,2021-11-26,49
26,2021-11-27,30
26,2021-11-28,97
26,2021-11-29,123
26,2021-11-30,103
27,2021-11-01,135
27,2021-11-02,141
27,2021-11-03,140
27,2021-11-04,133
27,2021-11-05,191
27,2021-11-06,172
27,2021-11-07,159
27,2021-11-08,82
27,2021-11-09,133
27,2021-11-10,154
27,2021-11-11,155
27,2021-11-12,96
27,2021-11-13,71
27,2021-11-14,72
27,2021-11-15,162
27,2021-11-16,146
27,2021-11-17,163
27,2021-11-18,86
27,2021-11-19,145
27,2021-11-20,95
27,2021-11-21,176
27,2021-11-22,81
27,2021-11-23,53
27,2021-11-24,140
27,2021-11-25,116
27,2021-11-26,54
27,2021-11-27,21
27,2021-11-28,105
27,2021-11-29,134
27,2021-11-30,95
28,2021-11-01,34
28,2021-11-02,42
28,2021-11-03,33
28,2021-11-04,29
28,2021-11-05,38
28,2021-11-06,45
28,2021-11-07,34
28,2021-11-08,23
28,2021-11-09,39
28,2021-11-10,37
28,2021-11-11,49
28,2021-11-12,33
28,2021-11-13,30
28,2021-11-14,29
28,2021-11-15,49
28,2021-11-16,45
28,2021-11-17,39
28,2021-11-18,44
28,2021-11-19,39
28,2021-11-20,23
28,2021-11-21,49
28,2021-11-22,29
28,2021-11-23,25
28,2021-11-24,42
28,2021-11-25,33
28,2021-11-26,20
28,2021-11-27,9
28,2021-11-28,30
28,2021-11-29,30
28,2021-11-30,32
29,2021-11-01,95
29,2021-11-02,90
29,2021-11-03,110
29,2021-11-04,113
29,2021-11-05,125
29,2021-11-06,43
29,2021-11-07,68
29,2021-11-08,66
29,2021-11-09,108
29,2021-11-10,88
29,2021-11-11,102
29,2021-11-12,79
29,2021-11-13,32
29,2021-11-14,50
29,2021-11-15,102
29,2021-11-16,102
29,2021-11-17,115
29,2021-11-18,83
29,2021-11-19,108
29,2021-11-20,35
29,2021-11-21,43
29,2021-11-22,68
29,2021-11-23,67
29,2021-11-24,89
29,2021-11-25,93
29,2021-11-26,69
29,2021-11-27,15
29,2021-11-28,39
29,2021-11-29,102
29,2021-11-30,76
30,2021-11-01,129
30,2021-11-02,100
30,2021-11-03,105
30,2021-11-04,113
30,2021-11-05,124
30,2021-11-06,98
30,2021-11-07,127
30,2021-11-08,114
30,2021-11-09,95
30,2021-11-10,103
30,2021-11-11,106
30,2021-11-12,89
30,2021-11-13,84
30,2021-11-14,103
30,2021-11-15,182
30,2021-11-16,139
30,2021-11-17,152
30,2021-11-18,97
30,2021-11-19,130
30,2021-11-20,121
30,2021-11-21,124
30,2021-11-22,141
30,2021-11-23,77
30,2021-11-24,134
30,2021-11-25,122
30,2021-11-26,82
30,2021-11-27,96
30,2021-11-28,118
30,2021-11-29,172
30,2021-11-30,118
31,2021-11-01,108
31,2021-11-02,118
31,2021-11-03,88
31,2021-11-04,107
31,2021-11-05,139
31,2021-11-06,125
31,2021-11-07,98
31,2021-11-08,102
31,2021-11-09,94
31,2021-11-10,111
31,2021-11-11,115
31,2021-11-12,95
31,2021-11-13,85
31,2021-11-14,100
31,2021-11-15,97
31,2021-11-16,113
31,2021-11-17,115
31,2021-11-18,83
31,2021-11-19,125
31,2021-11-20,103
31,2021-11-21,126
31,2021-11-22,81
31,2021-11-23,63
31,2021-11-24,106
31,2021-11-25,104
31,2021-11-26,57
31,2021-11-27,47
31,2021-11-28,114
31,2021-11-29,115
31,2021-11-30,86
32,2021-11-01,281
32,2021-11-02,295
32,2021-11-03,284
32,2021-11-04,273
32,2021-11-05,267
32,2021-11-06,232
32,2021-11-07,211
32,2021-11-08,171
32,2021-11-09,298
32,2021-11-10,283
32,2021-11-11,273
32,2021-11-12,196
32,2021-11-13,133
